# (slave) id, asymmetry, rt_m, rt_s, t1, t2, tm1, tm2, offset, delay
# (master) id, rt, t1, t2, tm1, tm2
128, 9667271, 19778115, 10110844, 1678216601036986674, 1678216601041953053, 1678216601042293039, 1678216601047437504, 84982, 5131381
129, 9543758, 19657363, 10113605, 1678216602939060082, 1678216602944148117, 1678216602944461775, 1678216602949487345, 4417, 5070501
131, 9585256, 19694989, 10109733, 1678216605312817400, 1678216605317874429, 1678216605318219743, 1678216605323272447, -3551, 5058877
132, 9570444, 19684064, 10113620, 1678216605789891627, 1678216605794952613, 1678216605795274143, 1678216605800326777, -12207, 5059091
134, 9593092, 19707564, 10114472, 1678216607448788665, 1678216607453856149, 1678216607454192767, 1678216607459239755, -9921, 5057456
135, 9577340, 19688914, 10111574, 1678216608940301930, 1678216608945362925, 1678216608945688383, 1678216608950738962, 108, 5056686
137, 9559256, 19673109, 10113853, 1678216610189703407, 1678216610194762605, 1678216610195083359, 1678216610200138014, -4608, 5056686
138, 9746357, 19856747, 10110390, 1678216611014376183, 1678216611019432869, 1678216611019758271, 1678216611024811975, -1035, 5056128
140, 9462311, 19575190, 10112879, 1678216612486730406, 1678216612491784869, 1678216612492100783, 1678216612497159199, -937, 5056126
141, 9713975, 19825642, 10111667, 1678216614480215259, 1678216614485271901, 1678216614485600287, 1678216614490655312, -2271, 5056624
142, 9568915, 19681685, 10112770, 1678216615982946415, 1678216615988001181, 1678216615988317631, 1678216615993375635, 2127, 5056024
144, 9561494, 19674461, 10112967, 1678216617355373181, 1678216617360430397, 1678216617360799983, 1678216617365855734, -1551, 5056627
146, 9566556, 19679212, 10112656, 1678216618264302873, 1678216618269359893, 1678216618269686239, 1678216618274741875, -1224, 5056016
147, 9562699, 19675164, 10112465, 1678216618675463986, 1678216618680519405, 1678216618680837423, 1678216618685894469, 750, 5055919
149, 9593229, 19706836, 10113607, 1678216620396535629, 1678216620401591661, 1678216620401938431, 1678216620406996006, 37, 5056016
150, 277550, 10389453, 10111903, 1678216621901143083, 1678216621906199309, 1678216621906524255, 1678216621911579932, 278025, 5056199
153, 9697809, 19811506, 10113697, 1678216624468403123, 1678216624473576309, 1678216624473906303, 1678216624478846814, -90797, 5055587
154, 9567193, 19679594, 10112401, 1678216625790100552, 1678216625795151325, 1678216625795473327, 1678216625800534955, 28140, 5055212
155, 9591614, 19704293, 10112679, 1678216627024838851, 1678216627029870205, 1678216627030207103, 1678216627035288428, 25249, 5055212
156, 9568738, 19680544, 10111806, 1678216628252780049, 1678216628257816821, 1678216628258150719, 1678216628263225753, 17457, 5055212
157, -478579, 9631728, 10110307, 1678216629703735707, 1678216629708780693, 1678216629709106079, 1678216629714171400, -5008835, 5055835
159, 4536334, 9663929, 5127595, 1678216631582631523, 1678216631582833157, 1678216631583160255, 1678216631588086216, -24601, 5053282
161, 4530166, 9639803, 5109637, 1678216632253834859, 1678216632252902357, 1678216632253316367, 1678216632259358506, 1572778, 5003922
162, 4566611, 9665227, 5098616, 1678216633643915600, 1678216633642505813, 1678216633642821887, 1678216633649330290, 2276473, 3767157
164, 4156767, 9250620, 5093853, 1678216635598428918, 1678216635599157085, 1678216635599490959, 1678216635603856645, 1544890, 2830609
165, 4554188, 9646760, 5092572, 1678216635993795230, 1678216635995175405, 1678216635995502463, 1678216635999214860, -7919, 2718024
166, 4516508, 9617649, 5101141, 1678216637762219445, 1678216637765173917, 1678216637765483199, 1678216637767629868, -400131, 2554444
168, 4557234, 9655432, 5098198, 1678216639355281282, 1678216639358219141, 1678216639358545519, 1678216639360705858, -385808, 2548859
169, 4539211, 9642219, 5103008, 1678216639949366826, 1678216639952264661, 1678216639952629695, 1678216639954834868, -270335, 2548859
170, 4505240, 9608079, 5102839, 1678216641372655083, 1678216641375389757, 1678216641375723823, 1678216641378091988, -154481, 2548859
171, 4508419, 9608128, 5099709, 1678216642882109273, 1678216642884718909, 1678216642885040239, 1678216642887530312, -26132, 2548859
