# (slave) id, asymmetry, rt_m, rt_s, t1, t2, tm1, tm2, offset, delay
# (master) id, rt, t1, t2, tm1, tm2
111, 12443307, 1678216570592192575, 1678216570599809124, 1678216570600272359, 1678216570605099117
112, 19663787, 1678216571592367695, 1678216571596297790, 1678216571596733017, 1678216571612466709
113, 12277233, 1678216572592502175, 1678216572600927896, 1678216572601371541, 1678216572605223053
114, 19663224, 1678216573592659503, 1678216573597487201, 1678216573597923215, 1678216573612758741
115, 12119141, 1678216574592810591, 1678216574601128387, 1678216574601553108, 1678216574605354453
116, 19619506, 1678216575592973903, 1678216575597737384, 1678216575598219180, 1678216575613075205
117, 11942441, 1678216576593124319, 1678216576600996368, 1678216576601416437, 1678216576605486829
118, 19690303, 1678216577593309551, 1678216577597978025, 1678216577598386712, 1678216577613408541
119, 11740830, 1678216578593460767, 1678216578601053377, 1678216578601496489, 1678216578605644709
120, 19184805, 1678216579593620079, 1678216579598435796, 1678216579599351541, 1678216579613720629
121, 11578048, 1678216580593771263, 1678216580601197127, 1678216580601626405, 1678216580605778589
122, 19005479, 1678216581593926367, 1678216581598843666, 1678216581599936689, 1678216581614024869
123, 11404903, 1678216582594077583, 1678216582601285856, 1678216582601741215, 1678216582605937845
124, 19629496, 1678216583594236447, 1678216583599227280, 1678216583599696838, 1678216583614335501
125, 11237638, 1678216584594386079, 1678216584601332730, 1678216584601756450, 1678216584606047437
126, 19627132, 1678216585594545647, 1678216585598615775, 1678216585599089033, 1678216585614646037
127, 11038537, 1678216586594735279, 1678216586600700270, 1678216586601147203, 1678216586606220749
128, 19628956, 1678216587594894719, 1678216587599460570, 1678216587599931172, 1678216587614994277
129, 10923511, 1678216588594971695, 1678216588600965000, 1678216588601408263, 1678216588606338469
130, 19640747, 1678216589595130815, 1678216589599743345, 1678216589600203108, 1678216589615231325
131, 10768613, 1678216590595241055, 1678216590601381943, 1678216590601853584, 1678216590606481309
132, 19595084, 1678216591595401487, 1678216591600264465, 1678216591600773851, 1678216591615505957
133, 10605319, 1678216592595553663, 1678216592601507099, 1678216592601839778, 1678216592606491661
